Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Junior ML/NLP Engineer ,Ink Solutions sp. z o.o,Warsaw,AI  Machine learning  Algorithms  NLP,4500,4500,PLN
 Software Engineer ,HUAWEI,Warsaw,AI  Python  Algorithms  Data structures,20000,29000,PLN
 Mid Data & AI Engineer FULLY REMOTE ,Nest Bank,Remote,Data  Python  Big data  AI,15000,22000,PLN
 Senior Data Architect – Supply Chain Analytics  ,Digital Hub Warsaw at Bayer,Warsaw,Data  Python  Degree  Data engineering,20000,28500,PLN
 Senior Technical Project Manager ,Crestt,Remote,Project Manager  Switches  LAN  WAN,18480,23520,PLN
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Python  ELT  ETL,23520,26880,PLN
 Senior NLP Engineer ,Sigmoidal,Remote,AI  Python  NLP  Machine learning,31000,37000,PLN
 NLP/AI Engineer ,VML Enterprise Solutions,Remote,AI  Python  AI  Communication skills,13000,17000,PLN
 Professional Data Engineer ,AVENGA,Remote,Data  Python  GCP  AWS,21000,23520,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
 Lead Data Architect ,Digital Hub Warsaw at Bayer,Warsaw,Data  SQL  Degree  Market analytics,24000,34000,PLN
 Gen AI Tech Lead ,Link Group,Gdynia,AI  Python  RAG Pipeline  AWS,27000,32000,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,40000,PLN
 Machine Learning Engineer ,Tooploox,Remote,AI  Python  Machine learning  Computer vision,13000,18000,PLN
    Senior Machine Learning Engineer - Remote ,DCG Sp. z o.o.,Remote,AI  Degree  Machine learning  Python,26880,33600,PLN
 Azure Data Engineer - Remote ,Link Group,Remote,Data  Azure  CI  Data Lake,18500,24500,PLN
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,7500,10000,USD
 Senior Technical Project Manager ,Tangent,Poznań,Project Manager  Project management  Jira  Confluence,18000,26000,PLN
 Senior Data Engineer (Finance Team) ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Data  SQL  Azure  Python,20000,25000,PLN
 Senior Machine Learning Engineer  ,MANGOPAY,Remote,AI  Python  MLOps  Data engineering,20000,31250,PLN
 MLOps Engineer ,Harvey Nash Technology,Remote,AI  Python  AWS  REST,17000,33000,PLN
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
 Remote Data Engineer  ,Kingfisher plc.,Remote,Data  Python  AWS  Data modelling,15000,19000,PLN
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 Azure Cloud Engineer - Azure AI Services (pharma) ,7N Sp. z o.o.,Remote,AI  Azure  Azure Cloud  Azure AI services,24360,26880,PLN
 Senior Data Engineer ,Craft.co,Remote,Data  Python  Data engineering  SQL,28000,34000,PLN
 Mid-Senior Machine Learning Engineer ,Harvey Nash Technology,Kraków,AI  Python  OOP  Data structures,17000,23000,PLN
 Machine Learning Engineer ,AVENGA,Remote,AI  Machine learning  SQL  T-SQL,23520,25200,PLN
 Database Analyst ,T-Mobile Polska,Warszawa,Data  SQL  SAS  Pentaho,,,
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Azure  Python  SQL,20000,28000,PLN
 Technical Project Manager ,Devire,Tczew,Project Manager  Communication skills  Project management  Polish,17000,20000,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Python  Azure  SQL,19320,29400,PLN
 Machine Learning Engineer ,Numlabs - Data Science Services,Remote,AI  Python  Degree  Cloud computing,20160,26880,PLN
 Machine Learning Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Warszawa,AI  CI/CD  GitHub Actions  Airflow,,,
 Data Engineer ,Tooploox,Remote,Data  SQL  Snowflake  BigQuery,15000,18000,PLN
 BigQuery Data Engineer  ,Ocado Technology,Kraków,Data  SQL  BigQuery  Python,,,
 Senior Data Engineer - Remote  ,Link Group,Remote,Data  SQL  dbt  Databricks,23000,25200,PLN
 Senior AI Engineer ,Sigma IT Poland,Remote,AI  AI  Machine learning  Python,23520,26880,PLN
 Principal Data Engineer  ,Digital Hub Warsaw at Bayer,Warsaw,Data  Golang  Kafka  REST API,32000,42000,PLN
